REGION;COMUNA;Destino;TipoVehiculo;Catalitico;NoCatalitico
2;2103;1.0;7.0;1877.0;5.0
2;2103;1.0;8.0;3.0;0.0
2;2103;1.0;9.0;0.0;0.0
2;2103;2.0;1.0;0.0;0.0
2;2103;2.0;2.0;0.0;0.0
2;2103;2.0;3.0;0.0;0.0
2;2103;2.0;4.0;32.0;0.0
2;2103;2.0;5.0;1.0;0.0
2;2103;2.0;6.0;0.0;0.0
2;2103;2.0;7.0;73.0;2.0
2;2103;2.0;8.0;2.0;1.0
2;2103;2.0;9.0;0.0;0.0
2;2103;3.0;1.0;173.0;0.0
2;2103;3.0;2.0;144.0;1.0
2;2103;3.0;3.0;0.0;0.0
2;2103;3.0;4.0;0.0;0.0
2;2103;3.0;5.0;0.0;0.0
2;2103;3.0;6.0;28.0;0.0
2;2103;3.0;7.0;0.0;0.0
2;2104;1.0;1.0;998.0;53.0
2;2104;1.0;2.0;502.0;12.0
2;2104;1.0;3.0;103.0;20.0
2;2104;1.0;4.0;74.0;4.0
2;2104;1.0;5.0;0.0;2.0
2;2104;1.0;6.0;23.0;2.0
2;2104;1.0;7.0;985.0;98.0
2;2104;1.0;8.0;24.0;1.0
2;2104;1.0;9.0;0.0;0.0
2;2104;2.0;1.0;95.0;0.0
2;2104;2.0;2.0;1.0;0.0
2;2104;2.0;3.0;0.0;0.0
2;2104;2.0;4.0;22.0;0.0
2;2104;2.0;5.0;1.0;0.0
2;2104;2.0;6.0;0.0;0.0
2;2104;2.0;7.0;12.0;0.0
2;2104;2.0;8.0;0.0;0.0
2;2104;2.0;9.0;0.0;0.0
2;2104;3.0;1.0;194.0;12.0
2;2104;3.0;2.0;128.0;2.0
2;2104;3.0;3.0;0.0;0.0
2;2104;3.0;4.0;0.0;0.0
2;2104;3.0;5.0;0.0;0.0
2;2104;3.0;6.0;10.0;0.0
2;2104;3.0;7.0;0.0;0.0
2;2201;1.0;1.0;17289.0;317.0
2;2201;1.0;2.0;10707.0;97.0
2;2201;1.0;3.0;512.0;77.0
2;2201;1.0;4.0;566.0;20.0
2;2201;1.0;5.0;26.0;5.0
2;2201;1.0;6.0;248.0;4.0
2;2201;1.0;7.0;9077.0;363.0
2;2201;1.0;8.0;1042.0;19.0
2;2201;1.0;9.0;0.0;0.0
2;2201;2.0;1.0;153.0;0.0
2;2201;2.0;2.0;1594.0;0.0
2;2201;2.0;3.0;190.0;0.0
2;2201;2.0;4.0;708.0;0.0
2;2201;2.0;5.0;157.0;0.0
2;2201;2.0;6.0;0.0;0.0
2;2201;2.0;7.0;336.0;0.0
2;2201;2.0;8.0;597.0;9.0
2;2201;2.0;9.0;0.0;0.0
2;2201;3.0;1.0;1957.0;52.0
2;2201;3.0;2.0;1098.0;6.0
2;2201;3.0;3.0;4.0;0.0
2;2201;3.0;4.0;0.0;0.0
2;2201;3.0;5.0;8.0;1.0
2;2201;3.0;6.0;369.0;2.0
2;2201;3.0;7.0;0.0;0.0
2;2202;1.0;1.0;15.0;0.0
2;2202;1.0;2.0;13.0;0.0
2;2202;1.0;3.0;2.0;0.0
2;2202;1.0;4.0;1.0;0.0
2;2202;1.0;5.0;0.0;0.0
2;2202;1.0;6.0;0.0;0.0
2;2202;1.0;7.0;135.0;1.0
2;2202;1.0;8.0;1.0;0.0
2;2202;1.0;9.0;0.0;0.0
2;2202;2.0;1.0;0.0;0.0
2;2202;2.0;2.0;0.0;0.0
2;2202;2.0;3.0;0.0;0.0
2;2202;2.0;4.0;1.0;0.0
2;2202;2.0;5.0;0.0;0.0
2;2202;2.0;6.0;0.0;0.0
2;2202;2.0;7.0;2.0;0.0
2;2202;2.0;8.0;0.0;0.0
2;2202;2.0;9.0;0.0;0.0
