Total;Mujeres;Hombres;Region;Comuna;Jornada
20;4;16;13;13101;2
9;1;8;13;13101;2
9;;9;13;13101;2
2;;2;13;13101;2
9;3;6;13;13101;2
6;2;4;13;13101;2
3;1;2;13;13101;2
23;3;20;13;13101;2
4;;4;13;13101;2
2;;2;13;13101;2
5;1;4;13;13101;2
17;2;15;13;13101;2
6;2;4;4;4101;2
94;45;49;13;13101;2
851;558;293;13;13101;1
456;309;147;4;4101;1
91;48;43;13;13101;1
103;43;60;13;13101;1
75;37;38;4;4101;1
66;33;33;13;13101;1
78;33;45;13;13101;2
52;10;42;13;13101;1
89;6;83;13;13101;2
17;8;9;13;13101;1
66;35;31;13;13101;2
89;67;22;13;13101;1
50;38;12;13;13101;2
1;;1;13;13101;2
59;12;47;13;13101;1
47;9;38;13;13101;2
2;;2;13;13101;2
60;22;38;13;13101;2
408;257;151;13;13101;1
551;471;80;13;13101;1
197;154;43;13;13101;1
35;19;16;13;13101;2
2;1;1;13;13101;4
35;23;12;13;13101;2
2;;2;13;13101;4
38;21;17;8;8101;1
158;85;73;13;13101;1
1;;1;8;8301;1
307;127;180;13;13101;2
9;3;6;4;4101;2
74;40;34;8;8301;2
70;40;30;1;1101;2
15;8;7;7;7201;2
26;24;2;7;7401;2
12;11;1;7;7404;2
203;144;59;8;8301;1
63;51;12;8;8101;1
21;9;12;13;13101;4
14;6;8;4;4101;1
34;7;27;13;13101;2
50;21;29;4;4101;2
4;;4;13;13101;4
47;28;19;4;4301;1
4;1;3;13;13101;4
1;;1;13;13101;4
41;8;33;7;7101;2
10;3;7;13;13101;4
5;3;2;13;13101;4
13;1;12;13;13101;4
9;2;7;4;4101;2
1;;1;1;1101;1
35;22;13;1;1101;2
7;5;2;4;4101;2
3;2;1;7;7201;2
12;2;10;13;13101;2
5;1;4;4;4301;1
13;3;10;7;7101;2
13;4;9;1;1101;2
40;19;21;4;4101;2
56;19;37;13;13101;4
1;;1;13;13101;2
30;11;19;4;4101;2
22;12;10;13;13101;4
88;22;66;4;4101;2
12;3;9;13;13101;2
2;2;;8;8101;1
9;4;5;8;8301;1
13;7;6;13;13101;2
25;20;5;13;13101;4
1;1;;13;13101;4
1;;1;13;13101;4
71;36;35;8;8101;1
1;1;;16;16101;2
2;1;1;16;16101;2
7;4;3;7;7201;2
11;7;4;7;7401;2
14;11;3;1;1101;2
3;1;2;8;8101;2
6;6;;1;1101;2
1;1;;1;1101;2
4;3;1;16;16101;2
73;59;14;1;1101;2
9;7;2;1;1101;1
419;359;60;8;8101;1
72;67;5;4;4301;1
6;6;;1;1101;1
151;135;16;4;4101;2
309;270;39;16;16101;2
27;18;9;7;7101;2
53;48;5;4;4301;2
29;28;1;8;8101;2
30;24;6;1;1101;2
22;21;1;4;4301;2
211;184;27;8;8301;2
111;103;8;1;1101;2
11;11;;4;4301;1
8;7;1;7;7404;2
1;1;;7;7201;2
5;4;1;1;1101;2
1;;1;4;4301;2
16;14;2;7;7401;2
55;46;9;13;13101;2
4;2;2;8;8101;1
53;23;30;4;4301;1
1;1;;4;4101;1
42;16;26;13;13101;1
6;3;3;7;7101;1
21;19;2;16;16101;2
1;1;;7;7101;2
116;111;5;1;1101;2
12;11;1;1;1101;1
92;86;6;16;16101;2
2;2;;4;4101;1
26;24;2;4;4301;2
43;40;3;13;13101;2
137;125;12;4;4101;2
178;167;11;8;8301;2
90;84;6;7;7101;2
31;30;1;8;8101;2
78;70;8;4;4301;2
36;34;2;1;1101;2
1;1;;13;13101;2
4;;4;8;8301;1
1;;1;13;13101;2
79;52;27;4;4301;2
47;37;10;16;16101;2
64;51;13;8;8301;2
79;54;25;1;1101;2
4;1;3;7;7201;2
3;1;2;7;7201;2
3;2;1;7;7401;2
2;2;;4;4301;1
1;;1;7;7201;2
3;1;2;7;7401;2
9;6;3;1;1101;2
8;4;4;4;4101;2
2;2;;8;8301;1
12;7;5;16;16101;2
47;12;35;13;13101;2
79;62;17;1;1101;2
10;8;2;4;4301;2
4;4;;4;4101;2
9;7;2;13;13101;4
69;44;25;13;13101;2
80;71;9;7;7101;2
36;33;3;4;4301;2
6;1;5;4;4101;1
9;4;5;13;13123;1
9;3;6;8;8101;1
77;43;34;4;4101;1
65;28;37;16;16101;1
29;21;8;13;13123;1
8;7;1;2;2101;1
16;10;6;8;8101;2
123;48;75;13;13123;2
115;74;41;2;2101;2
79;43;36;4;4101;2
86;42;44;16;16101;2
4;2;2;13;13123;1
2;;2;4;4101;1
84;84;;2;2101;1
30;30;;16;16101;1
92;92;;4;4101;1
26;26;;13;13123;1
110;110;;2;2101;2
27;27;;16;16101;2
22;22;;13;13123;2
37;27;10;8;8101;1
129;108;21;2;2101;1
260;225;35;13;13123;1
241;197;44;4;4101;1
324;257;67;16;16101;1
27;21;6;13;13123;2
6;5;1;2;2101;2
94;83;11;2;2101;1
49;45;4;13;13123;1
136;119;17;16;16101;1
133;114;19;4;4101;1
17;15;2;8;8101;1
27;25;2;2;2101;2
76;68;8;13;13123;2
50;48;2;16;16101;2
9;6;3;4;4101;2
16;13;3;8;8101;2
89;32;57;4;4101;1
26;13;13;13;13123;1
30;9;21;13;13123;1
14;1;13;2;2101;1
30;10;20;16;16101;1
102;24;78;4;4101;1
3;1;2;13;13123;2
10;4;6;2;2101;2
8;2;6;13;13123;1
42;15;27;4;4101;1
7;4;3;4;4101;1
16;4;12;16;16101;1
10;3;7;13;13123;1
16;5;11;4;4101;2
10;4;6;13;13123;2
2;;2;13;13123;2
5;3;2;4;4101;1
3;2;1;13;13123;2
3;2;1;13;13123;1
28;5;23;13;13123;1
79;8;71;4;4101;1
6;2;4;2;2101;1
12;3;9;2;2101;2
18;6;12;13;13123;2
1;1;;13;13123;1
2;;2;13;13123;2
35;5;30;4;4101;1
1;;1;2;2101;1
58;26;32;13;13123;1
89;45;44;2;2101;1
103;41;62;4;4101;1
188;108;80;16;16101;1
34;15;19;8;8101;1
3;;3;13;13123;2
9;1;8;16;16101;1
11;7;4;2;2101;1
24;19;5;16;16101;1
40;23;17;4;4101;1
262;115;147;13;13123;1
172;93;79;4;4101;1
213;149;64;4;4101;1
55;32;23;13;13123;1
32;30;2;13;13123;1
65;57;8;2;2101;1
78;66;12;4;4101;1
90;48;42;13;13123;1
54;33;21;2;2101;1
49;31;18;16;16101;1
155;101;54;4;4101;1
66;63;3;16;16101;1
30;28;2;16;16101;2
76;25;51;2;2101;1
87;16;71;16;16101;1
78;21;57;4;4101;1
27;8;19;13;13123;1
36;26;10;2;2101;2
1;1;;16;16101;1
4;4;;4;4101;1
4;3;1;13;13123;1
6;1;5;4;4101;1
8;2;6;13;13123;1
15;8;7;13;13123;1
11;8;3;2;2101;1
8;5;3;16;16101;1
21;13;8;4;4101;1
1;1;;13;13123;2
1;1;;13;13123;1
4;2;2;8;8101;1
71;50;21;13;13123;1
130;80;50;16;16101;1
91;57;34;2;2101;1
135;81;54;4;4101;1
29;22;7;13;13123;2
50;38;12;16;16101;2
94;72;22;2;2101;2
61;41;20;4;4101;2
2;;2;13;13123;1
6;3;3;4;4101;1
3;2;1;13;13123;1
5;3;2;4;4101;1
11;6;5;13;13123;1
90;56;34;13;13123;1
56;34;22;4;4101;1
7;7;;4;4101;1
2;1;1;4;4101;2
115;70;45;13;13101;4
52;32;20;13;13101;2
72;34;38;13;13101;4
16;13;3;13;13101;2
1;;1;13;13107;1
715;163;552;13;13107;1
96;44;52;13;13107;1
34;18;16;13;13101;1
210;95;115;9;9101;1
455;227;228;13;13101;1
120;44;76;13;13107;1
157;64;93;13;13107;1
8;1;7;13;13114;1
1;;1;13;13107;1
218;37;181;13;13101;1
66;20;46;13;13101;2
99;9;90;13;13101;2
9;2;7;13;13101;2
144;82;62;13;13123;2
70;40;30;13;13101;1
427;219;208;13;13123;1
250;146;104;9;9101;1
262;146;116;13;13123;2
2;;2;9;9101;2
10;6;4;13;13114;5
20;5;15;13;13114;5
11;5;6;13;13114;5
8;4;4;13;13114;5
11;6;5;13;13114;5
18;14;4;13;13114;5
7;5;2;9;9101;5
4;4;;9;9101;5
15;9;6;13;13101;5
20;15;5;13;13101;5
3;;3;13;13101;5
2;2;;13;13101;4
14;12;2;13;13101;5
45;34;11;9;9101;3
1;1;;13;13107;5
15;5;10;13;13101;1
21;8;13;13;13114;5
1;1;;13;13101;5
28;11;17;13;13107;5
8;3;5;13;13114;4
3;;3;9;9101;5
10;9;1;13;13123;5
20;14;6;9;9101;5
6;4;2;9;9101;5
7;4;3;9;9101;5
65;28;37;13;13107;5
1;1;;13;13123;5
1;;1;13;13123;5
3;1;2;9;9101;5
34;14;20;13;13114;4
8;4;4;13;13107;4
